Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,25%,55%,10%,0%,10%.1,0%.1,0%.2,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,,,,,,,,,,,Industry Domain,Technical Skill set,Soft skill,Min Years of Experience,Role,Qualification,Target Company,,"General Remark
1. Target company is not applicable when field is blank, so I have given 100%.
2. What should we do if all match but candidate doesn't know english?  We need to think about it. Something should be main filter like language, country of applicant.",,,,,,,,,,,,,,,,
Sr. No.,JD title ( Folder Name),Domain,IT Skill set,Soft skill,Min Years of Experience,Role,Qualification,Target Company,Candidate Name,Resume Files,Industry Domain Matching Score,Technical Skill set Matching Score,Soft skill Matching Score,Min Years of Experience Matching Score,Role Matching Score,Qualification Matching Score,Target Company Matching Score,Matching Score,Remark,Language,Location_City,Location_Country,Average tenure per company,,,,,,,,,,,,
1,MSD_SA_CRM_1,"Manufacturing, Industrial Machine","Microsoft Dynamics 365 CRM, Field Service","Team Player, Proactive, Good communication, Hardworking",5,"Airchitect, Solution Airchitect, Technical Airchitect",Bachelor of Engineering,,Candidate1,Candidate1_MSD_SA_CRM_1,0,50,100,100,50,100,100,43,"1. Not worked in Mfg. domain.
2. Not worked as Solution Airchitect
3. Not worked on field service, worked on customer service, which is near. Otherwise, it would be 25% or 0%",English,Pune,India,,,,,,,,,,,,,
2,MSD_SA_CRM_1,"Manufacturing, Industrial Machine","Microsoft Dynamics 365 CRM, Field Service","Team Player, Proactive, Good communication, Hardworking",5,"Airchitect, Solution Airchitect, Technical Airchitect",Bachelor of Engineering,,Candidate2,Candidate2_MSD_SA_CRM_1,0,0,50,0,0,100,100,5,"1. Not relevant skills
2. Not relevant roles
3. Not relevant domains",English,Pune,India,,,,,,,,,,,,,
3,MSD_SA_CRM_1,"Manufacturing, Industrial Machine","Microsoft Dynamics 365 CRM, Field Service","Team Player, Proactive, Good communication, Hardworking",5,"Airchitect, Solution Airchitect, Technical Airchitect",Bachelor of Engineering,,Candidate3,Candidate3_MSD_SA_CRM_1,0,100,100,100,25,100,100,68,"1. Not relevant roles, but 25% as worked as associate consultants.
2. Industry domain is not clear.",English,Pune,India,,,,,,,,,,,,,
4,MSD_SA_CRM_1,"Manufacturing, Industrial Machine","Microsoft Dynamics 365 CRM, Field Service","Team Player, Proactive, Good communication, Hardworking",5,"Airchitect, Solution Airchitect, Technical Airchitect",Bachelor of Engineering,,Candidate4,Candidate4_MSD_SA_CRM_1,0,25,100,25,0,100,100,24,"1. Not relevant skill, role and domain experence ",English,Pune,India,,,,,,,,,,,,,
5,MSD_SA_CRM_1,"Manufacturing, Industrial Machine","Microsoft Dynamics 365 CRM, Field Service","Team Player, Proactive, Good communication, Hardworking",5,"Airchitect, Solution Airchitect, Technical Airchitect",Bachelor of Engineering,,Candidate5,Candidate5_MSD_SA_CRM_1,0,25,100,25,0,100,100,24,"1. Not relevant skill, role and domain experence ",English,Pune,India,,,,,,,,,,,,,
6,MSD_SA_CRM_1,"Manufacturing, Industrial Machine","Microsoft Dynamics 365 CRM, Field Service","Team Player, Proactive, Good communication, Hardworking",5,"Airchitect, Solution Airchitect, Technical Airchitect",Bachelor of Engineering,,Candidate6,Candidate6_MSD_SA_CRM_1,100,100,100,80,50,100,100,95,1. Solution Airchitect role is missing but has required skil and domain experience.,English,Pune,India,,,,,,,,,,,,,
7,MSD_SA_CRM_1,"Manufacturing, Industrial Machine","Microsoft Dynamics 365 CRM, Field Service","Team Player, Proactive, Good communication, Hardworking",5,"Airchitect, Solution Airchitect, Technical Airchitect",Bachelor of Engineering,,Candidate7,Candidate7_MSD_SA_CRM_1,75,100,100,80,50,100,100,89,1. Solution Airchitect role is missing and limited domain experience.,English,Pune,India,,,,,,,,,,,,,
8,MSD_SA_CRM_1,"Manufacturing, Industrial Machine","Microsoft Dynamics 365 CRM, Field Service","Team Player, Proactive, Good communication, Hardworking",5,"Airchitect, Solution Airchitect, Technical Airchitect",Bachelor of Engineering,,Candidate8,Candidate8_MSD_SA_CRM_1,75,100,100,100,100,100,100,94,1. Manufacturing domain less years experience,English,Pune,India,,,,,,,,,,,,,
